時点,区分,項目,非改善群,非改善群n,改善群,改善群n,改善群の個別値,p
12か月,12か月,12か月 CDR 身の回りの世話,0.12±0.35,8,0.00,1,0,1.0
12か月,変化量,ΔMMSE合計,0.4±2.8,8,-1.0,1,-1,0.6666666666666666
12か月,変化量,ΔCDR-SB,1.1±0.9,8,1.0,1,1,1.0
12か月,変化量,ΔGlobal CDR,0.12±0.23,8,0.00,1,0,0.8888888888888888
12か月,変化量,ΔMoCA-J,-2.0,1,－,0,,
12か月,変化量,ΔMMSE 時間見当識,-0.4±0.7,8,0.0,1,0,0.8888888888888888
12か月,変化量,ΔMMSE 場所見当識,0.4±0.7,8,0.0,1,0,0.8888888888888888
12か月,変化量,ΔMMSE 物品呼称,0.0±0.0,8,0.0,1,0,
12か月,変化量,ΔMMSE 記銘,0.1±0.4,8,0.0,1,0,1.0
12か月,変化量,ΔMMSE 注意計算,0.1±2.2,8,-2.0,1,-2,0.6666666666666666
12か月,変化量,ΔMMSE 遅延再生,0.1±0.6,8,0.0,1,0,1.0
12か月,変化量,ΔMMSE 復唱,0.1±0.4,8,0.0,1,0,1.0
12か月,変化量,ΔMMSE 読字理解,0.0±0.0,8,0.0,1,0,
12か月,変化量,ΔMMSE 3段階命令,0.0±0.0,8,0.0,1,0,
12か月,変化量,ΔMMSE 書字,0.0±0.0,8,0.0,1,0,
12か月,変化量,ΔMMSE 図形模写,-0.1±0.4,8,1.0,1,1,0.2222222222222222
12か月,変化量,ΔCDR 記憶,0.19±0.26,8,0.50,1,0.5,0.6666666666666666
12か月,変化量,ΔCDR 見当識,0.19±0.26,8,0.00,1,0,0.8888888888888888
12か月,変化量,ΔCDR 判断力・問題解決,0.06±0.18,8,0.00,1,0,1.0
12か月,変化量,ΔCDR 地域社会の活動,0.25±0.27,8,0.00,1,0,0.6666666666666666
12か月,変化量,ΔCDR 家庭・趣味,0.25±0.38,8,0.50,1,0.5,0.6666666666666666
12か月,変化量,ΔCDR 身の回りの世話,0.12±0.35,8,0.00,1,0,1.0
18か月,患者背景,年齢（歳）,75.4±5.0,5,75.0,1,75,1.0
18か月,NPI,NPI-Apathy score 初回（点）,0.00±0.00,5,1.00,1,1,0.3333333333333333
18か月,NPI,NPI-Apathy score 追跡時（点）,0.80±0.84,5,0.00,1,0,0.6666666666666666
18か月,NPI,NPI-Apathy score 変化量（点）,0.80±0.84,5,-1.00,1,-1,0.3333333333333333
18か月,初回,初回 MMSE合計,23.8±2.0,5,23.0,1,23,1.0
18か月,初回,初回 CDR-SB,1.4±0.8,5,2.0,1,2,1.0
18か月,初回,初回 Global CDR,0.50±0.00,5,0.50,1,0.5,
