n1,n2,med1,med2,min1,max1,min2,max2,u,p,r,cles,n_req_1to1,n_req_obs,note,項目,群分け,転帰,除外数,群1症例,群2症例,p_fdr
3,11,0,0,0,2,-1,1,21,0.5549,0.2727,0.6364,141,209,,NPI第9項目（易怒性）,D_BLあり,ΔMMSE_場所見当識,6,"L27,L57,L58","L2,L3,L4,L24,L26,L40,L41,L42,L59,L60,L61",1
3,11,0,0,0,1,0,1,20.5,0.6593,0.2424,0.6212,179,265,,NPI第9項目（易怒性）,D_BLあり,ΔMMSE_記銘,6,"L27,L57,L58","L2,L3,L4,L24,L26,L40,L41,L42,L59,L60,L61",1
3,11,0,0,0,1,-3,3,19,0.7692,0.1515,0.5758,456,677,,NPI第9項目（易怒性）,D_BLあり,ΔMMSE_注意計算,6,"L27,L57,L58","L2,L3,L4,L24,L26,L40,L41,L42,L59,L60,L61",1
1,5,-1,-1,-1,-1,-1,0,1.5,1,-0.4,0.3,66,118,到達可能な最小p=0.333（この配分では有意になりえない）,NPI第9項目（易怒性）,D_BLあり,ΔMMSE_遅延再生,14,L58,"L2,L40,L42,L59,L60",1
3,11,0.5,1,0.5,2.5,0,2,20,0.6593,0.2121,0.6061,233,346,,NPI第9項目（易怒性）,D_BLあり,ΔCDR-SB,6,"L27,L57,L58","L2,L3,L4,L24,L26,L40,L41,L42,L59,L60,L61",1
3,11,0,0,0,0.5,0,0.5,16,1,-0.0303,0.4848,11397,16923,,NPI第9項目（易怒性）,D_BLあり,ΔCDR_記憶,6,"L27,L57,L58","L2,L3,L4,L24,L26,L40,L41,L42,L59,L60,L61",1
3,11,0.5,0,0.5,0.5,0,0.5,28.5,0.08791,0.7273,0.8636,20,30,,NPI第9項目（易怒性）,D_BLあり,ΔCDR_見当識,6,"L27,L57,L58","L2,L3,L4,L24,L26,L40,L41,L42,L59,L60,L61",1
3,11,0,0,0,0,0,0.5,13.5,0.7692,-0.1818,0.4091,317,471,,NPI第9項目（易怒性）,D_BLあり,ΔCDR_判断力・問題解決,6,"L27,L57,L58","L2,L3,L4,L24,L26,L40,L41,L42,L59,L60,L61",1
3,11,0,0,0,0.5,0,0.5,16,1,-0.0303,0.4848,11397,16923,,NPI第9項目（易怒性）,D_BLあり,ΔCDR_地域社会の活動,6,"L27,L57,L58","L2,L3,L4,L24,L26,L40,L41,L42,L59,L60,L61",1
3,11,0,0,0,1,0,0.5,18,0.8846,0.09091,0.5455,1267,1881,,NPI第9項目（易怒性）,D_BLあり,ΔCDR_家庭・趣味,6,"L27,L57,L58","L2,L3,L4,L24,L26,L40,L41,L42,L59,L60,L61",1
3,11,0,0,0,0,0,1,15,0.8846,-0.09091,0.4545,1267,1881,,NPI第9項目（易怒性）,D_BLあり,ΔCDR_身の回りの世話,6,"L27,L57,L58","L2,L3,L4,L24,L26,L40,L41,L42,L59,L60,L61",1
3,11,0,0,0,0.5,0,0.5,19,0.7692,0.1515,0.5758,456,677,,NPI第9項目（易怒性）,D_BLあり,ΔGlobalCDR,6,"L27,L57,L58","L2,L3,L4,L24,L26,L40,L41,L42,L59,L60,L61",1
1,5,-4,1,-4,-4,-2,2,0,0.3333,-1,0,11,19,到達可能な最小p=0.333（この配分では有意になりえない）,NPI第9項目（易怒性）,D_BLあり,ΔMoCA-J,14,L27,"L2,L3,L4,L24,L26",1
